system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1
30,1.75,acetonitrile,1,0,1,0,CC1=CCCC1,16,
73,0.92,acetonitrile,1,0,1,0,c1ccc(Nc2ccccc2)cc1,24
47,1.35,acetonitrile,1,0,1,0,Cc1cc(C)c(O)c(C)c1,22,
132,-1.91,acetonitrile,0,-1,0,1,C(=Nc1ccccc1)c1ccccc1,25,
111,-1.23,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccc(F)cc1,14,
51,1.63,acetonitrile,1,0,1,0,Oc1ccccc1,13,
138,1.64,acetonitrile,1,0,1,0,Fc1ccc(N=Cc2ccccc2)cc1,25,
185,-0.28,acetonitrile,0,-1,0,1,F[B-](F)(F)F.c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1,46,
154,1.47,acetonitrile,1,0,1,0,CC(=O)[O-].CCCCC[N+](CCCC)(CCCC)CCCCC,66,
66,0.74,acetonitrile,1,0,1,0,CN(C)c1ccccc1,20,
46,1.17,acetonitrile,1,0,1,0,COc1ccc(O)cc1,17,
48,1.4,acetonitrile,1,0,1,0,Oc1ccc2ccccc2c1,19,
55,1.32,acetonitrile,1,0,1,0,COc1ccc2ccccc2c1,22,
135,0.97,acetonitrile,1,0,1,0,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1,37,
146,-1.91,acetonitrile,0,-1,0,1,CC(=O)c1ccc(-c2ccccc2)cc1,27,
86,1.56,acetonitrile,1,0,1,0,c1ccc(SSc2ccccc2)cc1,24,
149,-1.74,acetonitrile,0,-1,0,1,CC(=O)c1ccc(C(F)(F)F)cc1,20,
113,-0.62,acetonitrile,0,-1,0,1,CCOC(=O)C(Br)C(=O)OCC,23,
35,1.94,acetonitrile,1,0,1,0,CC=Cc1ccccc1Cl,19,
7,2.27,acetonitrile,1,0,1,0,C#Cc1ccccc1,14,
45,1.14,acetonitrile,1,0,1,0,Oc1ccc(O)cc1,14,
88,0.81,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2[nH]1,16,
15,1.54,acetonitrile,1,0,1,0,C=C(c1ccccc1)c1ccccc1,26,
25,1.71,acetonitrile,1,0,1,0,CC=Cc1ccc(F)cc1,19,
102,2.14,acetonitrile,1,0,1,0,c1ccc2ncccc2c1,17,
98,1.62,acetonitrile,1,0,1,0,c1ccc2sccc2c1,15,
29,1.75,acetonitrile,1,0,1,0,CC=Cc1ccc(Br)cc1,19,
79,1.16,acetonitrile,1,0,1,0,Sc1ccc(S)cc1,14,
177,1.01,acetonitrile,1,0,1,0,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],54,
81,1.33,acetonitrile,1,0,1,0,Sc1ccc2ccccc2c1,19,
64,0.48,acetonitrile,1,0,1,0,Nc1ccccc1N,16,
126,-1.66,acetonitrile,0,-1,0,1, O=Cc1ccc(C(F)(F)F)cc1,17,
141,-2.33,acetonitrile,0,-1,0,1,O=C1CCCCC1,17,
24,1.7,acetonitrile,1,0,1,0,CC=Cc1ccccc1C,22,
137,1.52,acetonitrile,1,0,1,0,COc1cccc(N=Cc2ccccc2)c1,29,
160,-2.29,acetonitrile,0,-1,0,1,O=C(O)c1ccccc1,15,
12,1.43,acetonitrile,1,0,1,0,CC=Cc1ccc(C=CC)cc1,26,
108,-1.92,acetonitrile,0,-1,0,1,ClCCCl,8,
39,1.98,acetonitrile,1,0,1,0,CC=C(C)C,15,
120,-2.24,acetonitrile,0,-1,0,1,CC(C)CC=O,16,
9,1.15,acetonitrile,1,0,1,0,C=Cc1ccc(C)c(C)c1,22,
124,-1.73,acetonitrile,0,-1,0,1,=Cc1ccc2ccccc2c1,20,
14,1.48,acetonitrile,1,0,1,0,CC=Cc1ccccc1OC,23,
115,2.15,acetonitrile,1,0,1,0,Clc1ccc(I)cc1,12,
183,-0.59,acetonitrile,0,-1,0,1,Cc1cc(C)c(-c2c3ccc(C(C)(C)C)cc3[n+](-c3ccccc3)c3cc(C(C)(C)C)ccc23)c(C)c1.F[B-](F)(F)F,82,
28,1.74,acetonitrile,1,0,1,0,CC=Cc1ccccc1,19,
89,0.91,acetonitrile,1,0,1,0,COc1ccc2cc[nH]c2c1,20,
37,1.97,acetonitrile,1,0,1,0,C=Cc1ccccc1,16,
56,1.43,acetonitrile,1,0,1,0,COc1ccccc1OC,20,
151,2.66,acetonitrile,1,0,1,0,CC(=O)C1CCCCC1,23,
104,-2.48,acetonitrile,0,-1,0,1,BrCBr,5,
122,-1.93,acetonitrile,0,-1,0,1,O=Cc1ccccc1,14,
140,1.86,acetonitrile,1,0,1,0,ON=Cc1ccccc1,16,
61,1.88,acetonitrile,1,0,1,0,c1ccc(Oc2ccccc2)cc1,23,
42,2.32,acetonitrile,1,0,1,0,C1=CCCC1,13,
33,1.92,acetonitrile,1,0,1,0,CC=Cc1cccc(Br)c1,19,
155,1.55,acetonitrile,1,0,1,0,CN1CCCN(C)C1=O,21,
40,2.1,acetonitrile,1,0,1,0,CC(C)=CCO,16,
58,1.5,acetonitrile,1,0,1,0,COc1cccc(OC)c1,20,
158,-2.43,acetonitrile,0,-1,0,1,N#Cc1ccccc1,13,
36,1.94,acetonitrile,1,0,1,0,CC1=CCCCC1,19,
77,1.28,acetonitrile,1,0,1,0,C1CCC2=NCCCN2CC1,27,
118,2.61,acetonitrile,1,0,1,0,Clc1ccccc1,12,
168,-1.34,acetonitrile,0,-1,0,1,O=C1OC(=O)c2ccccc21,15,
184,-0.32,acetonitrile,1,0,0,1,CN(C)C1=CC2SC3=CC(=CC=C3N=C2C=C1)N(C)C,38,
76,1.09,acetonitrile,1,0,1,0,CC(C)NC(C)C,22
114,2.1,acetonitrile,1,0,1,0,Brc1ccc(I)cc1,12,
147,-1.89,acetonitrile,0,-1,0,1,CC(=O)c1ccc(Br)cc1,17,
169,-1.2,acetonitrile,0,-1,0,1,O=C(Cl)c1ccccc1,14,
57,1.47,acetonitrile,1,0,1,0,CC(C)Oc1cccc(OC(C)C)c1,32,
157,2.58,acetonitrile,1,0,1,0,O=C1CCCCN1,16,
5,2.22,acetonitrile,1,0,1,0,Cc1cccc(C)c1,18,
71,0.88,acetonitrile,1,0,1,0,c1ccc(N2CCOCC2)cc1,25,
153,1.4,acetonitrile,1,0,1,0,CCCCC[N+](CCCC)(CCCC)CCCCC.O=C([O-])c1ccccc1,73,
11,1.24,acetonitrile,1,0,1,0,CC=Cc1ccc(OC)cc1,23,
164,-1.7,acetonitrile,0,-1,0,1,N#Cc1ccccc1C#N,14,
176,0.71,acetonitrile,1,0,1,0,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],54,
112,-1.06,acetonitrile,0,-1,0,1,CCOC(=O)CBr,14,
131,-2.01,acetonitrile,0,-1,0,1,Cc1ccc(N=Cc2ccccc2)cc1,28,
116,2.17,acetonitrile,1,0,1,0,Ic1ccccc1,12,
93,1.04,acetonitrile,1,0,1,0,COc1ccc2[nH]ccc2c1,20,
189,-1.15,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccccc1,14,
136,1.5,acetonitrile,1,0,1,0,Cc1ccc(N=Cc2ccccc2)cc1,28,
130,2.06,acetonitrile,1,0,1,0,COc1ccc(C=O)cc1,18,
91,0.97,acetonitrile,1,0,1,0,COc1cccc2[nH]ccc12,20,
156,2.26,acetonitrile,1,0,1,0,CN(C)C=O,12,
8,2.36,acetonitrile,1,0,1,0,Cc1ccccc1,15,
70,0.86,acetonitrile,1,0,1,0,COc1cccc(N)c1,18,
92,1.03,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2s1,15,
167,-1.37,acetonitrile,0,-1,0,1,Cc1ccc(S(=O)(=O)Cl)cc1,18,
106,-1.94,acetonitrile,0,-1,0,1,Clc1ccc(I)cc1,12,
170,-1.01,acetonitrile,0,-1,0,1,O=C(OC(=O)c1ccccc1)c1ccccc1,27,
74,0.94,acetonitrile,1,0,1,0,C1CCNCC1,17,
127,-1.42,acetonitrile,0,-1,0,1,N#Cc1ccc(C=O)cc1,15,
50,1.43,acetonitrile,1,0,1,0,Cc1ccc(O)cc1C,19,
109,-1.82,acetonitrile,0,-1,0,1,ICI,5,
179,-0.27,acetonitrile,0,-1,0,1,O=C1CCC(=O)N1Cl,12,
117,2.5,acetonitrile,1,0,1,0,Brc1ccccc1,12,
173,-0.45,acetonitrile,0,-1,0,1,O=S(=O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,21,
16,1.54,acetonitrile,1,0,1,0,c1ccccc1,12,
100,1.74,acetonitrile,1,0,1,0,c1ccc2occc2c1,15,
150,-0.93,acetonitrile,0,-1,0,1,CC(=O)c1ccc([N+](=O)[O-])cc1,19,
143,-2.13,acetonitrile,0,-1,0,1,CC(=O)c1ccc(F)cc1,17,
85,1.51,acetonitrile,1,0,1,0,Sc1ccccc1,13,
105,-1.93,acetonitrile,0,-1,0,1,ClC(Cl)(Cl)Cl,5,
134,-1.88,acetonitrile,0,-1,0,1,COc1cccc(N=Cc2ccccc2)c1,29,
60,1.81,acetonitrile,1,0,1,0,COc1ccccc1,16,
72,0.89,acetonitrile,1,0,1,0,C1CCNC1,14,
80,1.28,acetonitrile,1,0,1,0,COc1ccc(SSc2ccc(OC)cc2)cc1,32,
192,0.66,acetonitrile,2,1,0,1,C1=CSC(=C2SC=CS2)S1,14,
41,2.22,acetonitrile,1,0,1,0,C1=CC2CCC1C2,17,
67,0.81,acetonitrile,1,0,1,0,Cc1ccc(N)cc1,17,
94,1.04,acetonitrile,1,0,1,0,Cn1cccc1,13,
90,0.95,acetonitrile,1,0,1,0,Nc1nccs1,10,
148,-1.85,acetonitrile,0,-1,0,1,CC(=O)c1ccc(I)cc1,17,
69,0.84,acetonitrile,1,0,1,0,CC(C)c1cccc(C(C)C)c1N,32,
13,1.49,acetonitrile,1,0,1,0,CC=Cc1ccsc1,16,
32,1.91,acetonitrile,1,0,1,0,C=C(C)c1ccccc1,19,
99,1.73,acetonitrile,1,0,1,0,OCc1ccco1,13,
34,1.94,acetonitrile,1,0,1,0,CC=Cc1ccc(C(=O)OC)cc1,25,
78,1.15,acetonitrile,1,0,1,0,COc1ccc(S)cc1,17,
175,0.26,acetonitrile,1,0,1,0, CCCC[N+](CCCC)(CCCC)CCCC.[I-],54,
2,1.65,acetonitrile,1,0,1,0,C#Cc1ccc(OC)cc1,18,
21,1.65,acetonitrile,1,0,1,0,CC=Cc1ccc(C(C)(C)C)cc1,31,
23,1.66,acetonitrile,1,0,1,0,C1=Cc2ccccc2C1,17,
171,-0.98,acetonitrile,0,-1,0,1,O=C1C=CC(=O)O1,9,
159,-2.34,acetonitrile,0,-1,0,1,COC(=O)c1ccccc1,18,
26,1.73,acetonitrile,1,0,1,0,CC=Cc1cccc(C)c1,22,
166,-1.45,acetonitrile,0,-1,0,1,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1,24,
110,-1.46,acetonitrile,0,-1,0,1,O=C(CBr)c1ccccc1,17,
128,-0.86,acetonitrile,0,-1,0,1,O=CC1=CC=C(C=C1)N(=O)=O,16,
142,-2.16,acetonitrile,0,-1,0,1,CC(=O)c1ccc(C)cc1,20,
188,-1.88,acetonitrile,0,-1,0,1,O=C(c1ccccc1)c1ccccc1,24,
43,2.37,acetonitrile,1,0,1,0,C1=CCCCC1,16,
133,-1.9,acetonitrile,0,-1,0,1,Fc1ccc(N=Cc2ccccc2)cc1,25,
19,1.64,acetonitrile,1,0,1,0,C1=C(c2ccccc2)CCCC1,26,
121,-1.94,acetonitrile,0,-1,0,1,Cc1ccccc1C=O,17,
165,-1.64,acetonitrile,0,-1,0,1,N#Cc1ccc(C#N)cc1,14,
63,0.32,acetonitrile,1,0,1,0,C1=C(N2CCCC2)CCCC1,28,
84,1.46,acetonitrile,1,0,1,0,Cc1ccc(SSc2ccc(C)cc2)cc1,30,
31,1.89,acetonitrile,1,0,1,0,CC=Cc1cccc(Cl)c1,19,
97,1.16,acetonitrile,1,0,1,0,c1ccc2[nH]ccc2c1,16,
10,1.15,acetonitrile,1,0,1,0,CC=Cc1ccc2c(c1)OCO2,22,
1,1.64,acetonitrile,1,0,1,0,c1ccc2ccccc2c1,18,
65,0.54,acetonitrile,1,0,1,0,C1=C(N2CCCC2)CCCC1,29,
103,2.21,acetonitrile,1,0,1,0,c1cn[nH]c1,9,
174,-0.2,acetonitrile,0,-1,0,1,O=C(OC(=O)C(F)(F)F)C(F)(F)F,13,
83,1.44,acetonitrile,1,0,1,0,CSc1ccccc1,16,
54,1.3,acetonitrile,1,0,1,0,COc1ccc(OC)cc1,20,
68,0.83,acetonitrile,1,0,1,0,CCN(CC)CC,22,
75,0.95,acetonitrile,1,0,1,0,Nc1ccccc1,14,
6,2.22,acetonitrile,1,0,1,0,Cc1ccccc1C,18,
161,-2.13,acetonitrile,0,-1,0,1,O=C1CCCO1,12,
38,1.98,acetonitrile,1,0,1,0,C=C(C)C=C(C)C,19,
119,-2.28,acetonitrile,0,-1,0,1,O=CC1CCCCC1,20,
163,-1.72,acetonitrile,0,-1,0,1,COC(=O)c1ccc(C#N)cc1,19,
144,-2.11,acetonitrile,0,-1,0,1,CC(=O)c1ccccc1,17,
17,1.59,acetonitrile,1,0,1,0,CC=Cc1ccc(C)cc1,22,
145,-1.91,acetonitrile,0,-1,0,1,CC(=O)c1ccc(Cl)cc1,17,
22,1.66,acetonitrile,1,0,1,0,CC=Cc1cccc(C=CC)c1,26,
95,1.07,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2o1,15,
18,1.6,acetonitrile,1,0,1,0,CC=Cc1cccc(OC)c1,23,
62,2.5,acetonitrile,1,0,1,0,C1COCCO1,14,
129,1.95,acetonitrile,1,0,1,0,O=Cc1ccc(O)cc1,15,
59,1.51,acetonitrile,1,0,1,0,C1=COCCC1,14,
3,1.84,acetonitrile,1,0,1,0,C(#Cc1ccccc1)c1ccccc1,24,
