system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1,mol
161,-2.13,acetonitrile,0,-1,0,1,O=C1CCCO1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacc10>
52,1.69,acetonitrile,1,0,1,0,Oc1ccc(Br)cc1,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacc80>
187,-1.36,dmf,0,-1,0,1,c1ccc(N=Nc2ccccc2)cc1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aaccf0>
78,1.15,acetonitrile,1,0,1,0,COc1ccc(S)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacd60>
5,2.22,acetonitrile,1,0,1,0,Cc1cccc(C)c1,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacdd0>
1,1.64,acetonitrile,1,0,1,0,c1ccc2ccccc2c1,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aace40>
125,-1.72,acetonitrile,0,-1,0,1,O=Cc1ccc(-c2ccccc2)cc1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aaceb0>
144,-2.11,acetonitrile,0,-1,0,1,CC(=O)c1ccccc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacf20>
172,-0.51,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccccc1S(=O)(=O)Cl,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacf90>
93,1.04,acetonitrile,1,0,1,0,COc1ccc2[nH]ccc2c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac7b0>
67,0.81,acetonitrile,1,0,1,0,Cc1ccc(N)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab10b0>
12,1.43,acetonitrile,1,0,1,0,CC=Cc1ccc(C=CC)cc1,26,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1120>
116,2.17,acetonitrile,1,0,1,0,Ic1ccccc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1190>
151,2.66,acetonitrile,1,0,1,0,CC(=O)C1CCCCC1,23,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1200>
17,1.59,acetonitrile,1,0,1,0,CC=Cc1ccc(C)cc1,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1270>
45,1.14,acetonitrile,1,0,1,0,Oc1ccc(O)cc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab12e0>
134,-1.88,acetonitrile,0,-1,0,1,COc1cccc(N=Cc2ccccc2)c1,29,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1350>
109,-1.82,acetonitrile,0,-1,0,1,ICI,5,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab13c0>
154,1.47,acetonitrile,1,0,1,0,CC(=O)[O-].CCCCC[N+](CCCC)(CCCC)CCCCC,66,<rdkit.Chem.rdchem.Mol object at 0x7f7bc9595120>
99,1.73,acetonitrile,1,0,1,0,OCc1ccco1,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1040>
11,1.24,acetonitrile,1,0,1,0,CC=Cc1ccc(OC)cc1,23,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab14a0>
175,0.26,acetonitrile,1,0,1,0,CCCC[N+](CCCC)(CCCC)CCCC.[I-],54,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1510>
63,0.32,acetonitrile,1,0,1,0,C1=C(N2CCCC2)CCCC1,28,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1580>
10,1.15,acetonitrile,1,0,1,0,CC=Cc1ccc2c(c1)OCO2,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab15f0>
94,1.04,acetonitrile,1,0,1,0,Cn1cccc1,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1660>
32,1.91,acetonitrile,1,0,1,0,C=C(C)c1ccccc1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab16d0>
65,0.54,acetonitrile,1,0,1,0,C1=C(N2CCOCC2)CCCC1,29,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1740>
66,0.74,acetonitrile,1,0,1,0,CN(C)c1ccccc1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab17b0>
188,-1.88,acetonitrile,0,-1,0,1,O=C(c1ccccc1)c1ccccc1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1820>
59,1.51,acetonitrile,1,0,1,0,C1=COCCC1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1890>
91,0.97,acetonitrile,1,0,1,0,COc1cccc2[nH]ccc12,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1900>
3,1.84,acetonitrile,1,0,1,0,C(#Cc1ccccc1)c1ccccc1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1970>
64,0.48,acetonitrile,1,0,1,0,Nc1ccccc1N,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab19e0>
36,1.94,acetonitrile,1,0,1,0,CC1=CCCCC1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1a50>
57,1.47,acetonitrile,1,0,1,0,CC(C)Oc1cccc(OC(C)C)c1,32,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1ac0>
24,1.7,acetonitrile,1,0,1,0,CC=Cc1ccccc1C,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1b30>
101,1.94,acetonitrile,1,0,1,0,c1ccoc1,9,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1ba0>
178,-1.12,acetonitrile,0,-1,0,1,,26,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1430>
33,1.92,acetonitrile,1,0,1,0,CC=Cc1cccc(Br)c1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1cf0>
4,2.07,acetonitrile,1,0,1,0,Cc1cc(C)cc(C)c1,21,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1d60>
162,-1.9,acetonitrile,0,-1,0,1,N#Cc1cccc(C#N)c1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1dd0>
193,0.3,acetonitrile,1,0,1,0,C1=CSC(=C2SC=CS2)S1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1e40>
179,-0.27,acetonitrile,0,-1,0,1,O=C1CCC(=O)N1Cl,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1eb0>
131,-2.01,acetonitrile,0,-1,0,1,Cc1ccc(N=Cc2ccccc2)cc1,28,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1f20>
156,2.26,acetonitrile,1,0,1,0,CN(C)C=O,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1f90>
180,-0.26,acetonitrile,0,-1,0,1,,26,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1c80>
20,1.64,acetonitrile,1,0,1,0,CC=Cc1ccccc1C=CC,26,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab70b0>
18,1.6,acetonitrile,1,0,1,0,CC=Cc1cccc(OC)c1,23,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7120>
92,1.03,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2s1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7190>
192,0.66,acetonitrile,2,1,0,1,,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7040>
15,1.54,acetonitrile,1,0,1,0,C=C(c1ccccc1)c1ccccc1,26,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7270>
174,-0.2,acetonitrile,0,-1,0,1,O=C(OC(=O)C(F)(F)F)C(F)(F)F,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab72e0>
69,0.84,acetonitrile,1,0,1,0,CC(C)c1cccc(C(C)C)c1N,32,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7350>
181,-1.1,acetonitrile,0,-1,0,1,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,37,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab73c0>
96,1.15,acetonitrile,1,0,1,0,c1c[nH]cn1,9,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab74a0>
139,1.67,acetonitrile,1,0,1,0,C(=Nc1ccccc1)c1ccccc1,25,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7510>
136,1.5,acetonitrile,1,0,1,0,Cc1ccc(N=Cc2ccccc2)cc1,28,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7580>
58,1.5,acetonitrile,1,0,1,0,COc1cccc(OC)c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab75f0>
83,1.44,acetonitrile,1,0,1,0,CSc1ccccc1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7660>
108,-1.92,acetonitrile,0,-1,0,1,ClCCCl,8,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab76d0>
39,1.98,acetonitrile,1,0,1,0,CC=C(C)C,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7740>
29,1.75,acetonitrile,1,0,1,0,CC=Cc1ccc(Br)cc1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab77b0>
13,1.49,acetonitrile,1,0,1,0,CC=Cc1ccsc1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7820>
62,2.5,acetonitrile,1,0,1,0,C1COCCO1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7890>
133,-1.9,acetonitrile,0,-1,0,1,Fc1ccc(N=Cc2ccccc2)cc1,25,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7900>
21,1.65,acetonitrile,1,0,1,0,CC=Cc1ccc(C(C)(C)C)cc1,31,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7970>
84,1.46,acetonitrile,1,0,1,0,Cc1ccc(SSc2ccc(C)cc2)cc1,30,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab79e0>
41,2.22,acetonitrile,1,0,1,0,C1=CC2CCC1C2,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7a50>
117,2.5,acetonitrile,1,0,1,0,Brc1ccccc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7ac0>
149,-1.74,acetonitrile,0,-1,0,1,CC(=O)c1ccc(C(F)(F)F)cc1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7b30>
119,-2.28,acetonitrile,0,-1,0,1,O=CC1CCCCC1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7ba0>
140,1.86,acetonitrile,1,0,1,0,ON=Cc1ccccc1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7c10>
183,-0.59,acetonitrile,0,-1,0,1,Cc1cc(C)c(-c2c3ccc(C(C)(C)C)cc3[n+](-c3ccccc3)c3cc(C(C)(C)C)ccc23)c(C)c1.F[B-](F)(F)F,82,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7c80>
70,0.86,acetonitrile,1,0,1,0,COc1cccc(N)c1,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7cf0>
85,1.51,acetonitrile,1,0,1,0,Sc1ccccc1,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7d60>
158,-2.43,acetonitrile,0,-1,0,1,N#Cc1ccccc1,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7dd0>
122,-1.93,acetonitrile,0,-1,0,1,O=Cc1ccccc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7e40>
34,1.94,acetonitrile,1,0,1,0,CC=Cc1ccc(C(=O)OC)cc1,25,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7eb0>
190,0.13,acetonitrile,0,-1,0,1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7f20>
146,-1.91,acetonitrile,0,-1,0,1,CC(=O)c1ccc(-c2ccccc2)cc1,27,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7f90>
186,-1.92,dmf,0,-1,0,1,c1ccc2cc3ccccc3cc2c1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab7200>
103,2.21,acetonitrile,1,0,1,0,c1cn[nH]c1,9,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe0b0>
97,1.16,acetonitrile,1,0,1,0,c1ccc2[nH]ccc2c1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe120>
177,1.01,acetonitrile,1,0,1,0,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],54,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe190>
95,1.07,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2o1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe200>
102,2.14,acetonitrile,1,0,1,0,c1ccc2ncccc2c1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe270>
143,-2.13,acetonitrile,0,-1,0,1,CC(=O)c1ccc(F)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe2e0>
104,-2.48,acetonitrile,0,-1,0,1,BrCBr,5,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe350>
80,1.28,acetonitrile,1,0,1,0,COc1ccc(SSc2ccc(OC)cc2)cc1,32,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe3c0>
182,-0.86,acetonitrile,-2,-3,0,1,,35,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe040>
19,1.64,acetonitrile,1,0,1,0,C1=C(c2ccccc2)CCCC1,26,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe4a0>
88,0.81,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2[nH]1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe510>
27,1.73,acetonitrile,1,0,1,0,CC=Cc1ccc(Cl)cc1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe580>
28,1.74,acetonitrile,1,0,1,0,CC=Cc1ccccc1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe5f0>
130,2.06,acetonitrile,1,0,1,0,COc1ccc(C=O)cc1,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe660>
98,1.62,acetonitrile,1,0,1,0,c1ccc2sccc2c1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe6d0>
138,1.64,acetonitrile,1,0,1,0,Fc1ccc(N=Cc2ccccc2)cc1,25,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe740>
112,-1.06,acetonitrile,0,-1,0,1,CCOC(=O)CBr,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe7b0>
173,-0.45,acetonitrile,0,-1,0,1,O=S(=O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,21,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe820>
31,1.89,acetonitrile,1,0,1,0,CC=Cc1cccc(Cl)c1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe970>
148,-1.85,acetonitrile,0,-1,0,1,CC(=O)c1ccc(I)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8ab1c10>
115,2.15,acetonitrile,1,0,1,0,Clc1ccc(I)cc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe890>
157,2.58,acetonitrile,1,0,1,0,O=C1CCCCN1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe430>
86,1.56,acetonitrile,1,0,1,0,c1ccc(SSc2ccccc2)cc1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe9e0>
113,-0.62,acetonitrile,0,-1,0,1,CCOC(=O)C(Br)C(=O)OCC,23,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abea50>
155,1.55,acetonitrile,1,0,1,0,CN1CCCN(C)C1=O,21,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abeac0>
68,0.83,acetonitrile,1,0,1,0,CCN(CC)CC,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abeb30>
169,-1.2,acetonitrile,0,-1,0,1,O=C(Cl)c1ccccc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abeba0>
123,-1.85,acetonitrile,0,-1,0,1,O=Cc1ccc(Cl)cc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abec10>
184,-0.32,acetonitrile,1,0,0,1,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,38,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abec80>
2,1.65,acetonitrile,1,0,1,0,C#Cc1ccc(OC)cc1,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abecf0>
147,-1.89,acetonitrile,0,-1,0,1,CC(=O)c1ccc(Br)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abed60>
167,-1.37,acetonitrile,0,-1,0,1,Cc1ccc(S(=O)(=O)Cl)cc1,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abedd0>
47,1.35,acetonitrile,1,0,1,0,Cc1cc(C)c(O)c(C)c1,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abee40>
159,-2.34,acetonitrile,0,-1,0,1,COC(=O)c1ccccc1,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abeeb0>
124,-1.73,acetonitrile,0,-1,0,1,O=Cc1ccc2ccccc2c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abef20>
35,1.94,acetonitrile,1,0,1,0,CC=Cc1ccccc1Cl,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abef90>
137,1.52,acetonitrile,1,0,1,0,COc1cccc(N=Cc2ccccc2)c1,29,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8abe900>
60,1.81,acetonitrile,1,0,1,0,COc1ccccc1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab0b0>
73,0.92,acetonitrile,1,0,1,0,c1ccc(Nc2ccccc2)cc1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab120>
42,2.32,acetonitrile,1,0,1,0,C1=CCCC1,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab190>
23,1.66,acetonitrile,1,0,1,0,C1=Cc2ccccc2C1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab200>
8,2.36,acetonitrile,1,0,1,0,Cc1ccccc1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab270>
189,-1.15,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccccc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab2e0>
6,2.22,acetonitrile,1,0,1,0,Cc1ccccc1C,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab350>
46,1.17,acetonitrile,1,0,1,0,COc1ccc(O)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab3c0>
74,0.94,acetonitrile,1,0,1,0,C1CCNCC1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab430>
160,-2.29,acetonitrile,0,-1,0,1,O=C(O)c1ccccc1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab4a0>
25,1.71,acetonitrile,1,0,1,0,CC=Cc1ccc(F)cc1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab510>
51,1.63,acetonitrile,1,0,1,0,Oc1ccccc1,13,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab580>
128,-0.86,acetonitrile,0,-1,0,1,,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab040>
53,2.08,acetonitrile,1,0,1,0,N#Cc1ccc(O)cc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab6d0>
9,1.15,acetonitrile,1,0,1,0,C=Cc1ccc(C)c(C)c1,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab740>
153,1.4,acetonitrile,1,0,1,0,CCCCC[N+](CCCC)(CCCC)CCCCC.O=C([O-])c1ccccc1,73,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab7b0>
120,-2.24,acetonitrile,0,-1,0,1,CC(C)CC=O,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab820>
152,1.26,acetonitrile,1,0,1,0,CCCCC[N+](CCCC)(CCCC)CCCCC.C[C-](C)C.O=C=O,75,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab890>
61,1.88,acetonitrile,1,0,1,0,c1ccc(Oc2ccccc2)cc1,23,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab900>
135,0.97,acetonitrile,1,0,1,0,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1,37,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab970>
106,-1.94,acetonitrile,0,-1,0,1,Clc1ccc(I)cc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88ab9e0>
44,2.5,acetonitrile,1,0,1,0,C=C(C)CCC,18,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88aba50>
43,2.37,acetonitrile,1,0,1,0,C1=CCCCC1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abac0>
82,1.44,acetonitrile,1,0,1,0,Cc1cccc(C)c1S,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abb30>
48,1.4,acetonitrile,1,0,1,0,Oc1ccc2ccccc2c1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abba0>
54,1.3,acetonitrile,1,0,1,0,COc1ccc(OC)cc1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc88abc10>
