Family,System,NumAtoms,SMILES,charge_gn,E_gn,G_gn,E_ox,G_ox,E_rd,G_rd,dG_red,dG_ox
1b,00,41,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1204.85499505,-1204.55615,-1204.61870158,-1204.321335,-1204.83374209,-1204.542516,-0.8511500000000891,1.0995989999998983
2c,09,33,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-860.158044279,-859.939558,-859.884670391,-859.667684,-860.210201736,-859.994479,-0.9197049999999221,1.1366580000000113
2c,07,41,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1089.08295961,-1088.811387,-1088.80045975,-1088.530499,-1089.14133235,-1088.872208,-0.9256050000000327,1.1456720000001042
4a,17,28,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-574.173264739,-573.973277,-573.544925515,-573.351223,-574.505391001,-574.308219,-1.1997259999999554,1.4868380000000343
2a,03,22,C.C.C.C.C.C.C.C.C.C.C.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-649.157868895,-649.029103,-648.823000758,-648.699018,-649.223632779,-649.097817,-0.9334979999999999,1.194868999999926
4d,01,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-650.322696838,-650.106566,-649.731696771,-649.519782,-650.646492842,-650.434828,-1.1930459999999952,1.4515680000000657
3f,02,51,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1150.15396128,-1149.777583,-1149.65137785,-1149.279708,-1150.46280515,-1150.090199,-1.1773999999999345,1.3626590000001215
4d,05,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-650.346602941,-650.13206,-649.769622351,-649.558479,-650.673095704,-650.462667,-1.1953909999999863,1.4383649999999761
2a,01,25,C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-688.422424383,-688.267799,-688.094030743,-687.944364,-688.489378793,-688.337638,-0.9346230000000018,1.1882190000000037
4a,15,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-652.743345266,-652.4875,-652.132742283,-651.884298,-653.071517343,-652.820139,-1.1974230000000856,1.4679859999999962
1c,01,29,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1068.61751927,-1068.430781,-1068.38577748,-1068.198703,-1068.62066242,-1068.44131,-0.8753129999999059,1.096862000000101
1a,03,31,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1143.98797951,-1143.786647,-1143.76515797,-1143.563536,-1143.96104963,-1143.770605,-0.8487420000000296,1.0878949999998895
1c,02,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1222.12868897,-1221.898741,-1221.90387418,-1221.673824,-1222.14469785,-1221.923655,-0.8896980000000807,1.0897010000001046
1a,08,23,C.C.C.C.C.C.C.C.C.C.C.C.F.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1014.29371477,-1014.160027,-1014.05059104,-1013.916582,-1014.27810952,-1014.152135,-0.8568920000000302,1.1082290000000512
4d,09,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-650.337952868,-650.120914,-649.740098475,-649.527706,-650.665950981,-650.452599,-1.1964689999999931,1.4579919999999902
2c,08,26,C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-668.584159691,-668.41482,-668.298990777,-668.13342,-668.628370629,-668.461818,-0.9117820000000305,1.1461839999999484
4c,05,29,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-666.312497927,-666.116281,-665.683743118,-665.492063,-666.654547902,-666.461136,-1.2096390000000523,1.489001999999914
4a,18,42,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-957.348054905,-957.048385,-956.831424719,-956.536491,-957.666978512,-957.370264,-1.1866629999999672,1.3766780000000836
1a,04,29,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-993.66717143,-993.475903,-993.436868052,-993.244054,-993.644761072,-993.460097,-0.8489780000000022,1.096632999999997
1a,13,27,C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1489.01096773,-1488.850503,-1488.7763231,-1488.615281,-1488.9951925,-1488.842684,-0.8569650000000733,1.100005999999894
3c,18,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-803.824263038,-803.563633,-803.278474701,-803.022624,-804.157389584,-803.899965,-1.2011159999999703,1.405793000000017
2c,01,39,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-938.727570518,-938.458062,-938.460517259,-938.192801,-938.775208174,-938.50836,-0.915081999999998,1.1300449999999955
4c,01,33,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-726.709650762,-726.476499,-726.143605038,-725.916372,-727.035444122,-726.806498,-1.1947830000000434,1.4249109999999519
4a,13,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-728.83594235,-728.574282,-728.290618229,-728.033977,-729.158708442,-728.900536,-1.191037999999949,1.4050889999999754
4a,03,40,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-731.314786048,-731.007512,-730.713286816,-730.412884,-731.634028504,-731.329749,-1.1870209999999728,1.459412000000043
2d,01,38,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1029.65882624,-1029.413344,-1029.40207823,-1029.157534,-1029.74369705,-1029.500038,-0.9514779999998522,1.1205940000002101
3c,15,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.52257018,-651.283377,-650.906586984,-650.671856,-651.860886131,-651.624951,-1.206358000000037,1.4763049999999112
4a,09,46,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1067.98707676,-1067.65853,-1067.48574152,-1067.163588,-1068.29367688,-1067.970097,-1.1763509999999682,1.359726000000137
3c,12,26,Br.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-3146.20432467,-3146.031494,-3145.5984809,-3145.428796,-3146.54917383,-3146.379718,-1.2130080000003003,1.4674819999995634
3f,00,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-650.296905524,-650.079961,-649.703550407,-649.490133,-650.637488615,-650.425835,-1.2106579999999807,1.4546119999999974
4d,07,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-878.815093799,-878.564297,-878.291898248,-878.043488,-879.120992025,-878.873566,-1.174052999999972,1.3855929999999717
4a,16,30,C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-724.390293484,-724.18272,-723.800071233,-723.595595,-724.72456039,-724.522543,-1.204607000000024,1.4519090000000006
2d,07,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.S.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],-2,-2121.17593795,-2121.001453,-2121.08779473,-2120.913524,-2121.09047662,-2120.918848,-0.7821789999999422,0.952712999999676
3b,01,27,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-611.016551703,-610.827554,-610.401032695,-610.217286,-611.358587218,-611.173437,-1.2106670000000717,1.4750520000000051
3e,02,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.514403286,-651.272099,-650.89002556,-650.652408,-651.840335175,-651.601363,-1.1940479999999665,1.484474999999975
3e,01,44,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-808.683536951,-808.34022,-808.10693538,-807.770594,-808.983687037,-808.642717,-1.167280999999903,1.4344100000000708
4a,14,48,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1035.90972965,-1035.56033,-1035.41736377,-1035.073385,-1036.22309168,-1035.877026,-1.1814799999998653,1.351729000000205
3c,10,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-819.867248686,-819.617726,-819.316084401,-819.071763,-820.194471527,-819.948507,-1.1955650000000018,1.4107469999999012
1d,00,24,C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-990.246200602,-990.100371,-989.983537412,-989.837649,-990.226706903,-990.089341,-0.8537539999999948,1.1275059999999257
4a,19,22,C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-495.608030401,-495.454564,-494.953087259,-494.805399,-495.955984706,-495.806375,-1.2165949999999979,1.5139489999999682
2d,00,42,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1049.07418576,-1048.790451,-1048.81357478,-1048.531436,-1049.15586104,-1048.873377,-0.9477099999998158,1.12379900000019
4b,04,40,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1650.24522332,-1649.958263,-1649.67675603,-1649.395642,-1650.56192066,-1650.278153,-1.1846739999999867,1.4274050000001353
3c,04,26,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-572.952380009,-572.765134,-572.325381909,-572.142925,-573.298347446,-573.114479,-1.2141289999999711,1.486992999999984
3f,04,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-727.692620477,-727.440176,-727.10146674,-726.854606,-728.021994745,-727.773093,-1.1977010000000659,1.4503539999999475
1a,12,25,C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1119.49058905,-1119.34871,-1119.2319129,-1119.090182,-1119.52813385,-1119.390639,-0.9067129999999819,1.123312000000169
