system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1,Formal_SMILES
112,-1.06,acetonitrile,0,-1,0,1,CCOC(=O)CBr,14,
131,-2.01,acetonitrile,0,-1,0,1,Cc1ccc(N=Cc2ccccc2)cc1,28,
116,2.17,acetonitrile,1,0,1,0,idk,12,Clc1ccc(I)cc1
93,1.04,acetonitrile,1,0,1,0,idk,20,COc1ccc2cc[nH]c2c1
189,-1.15,acetonitrile,0,-1,0,1,idk,14,O=[N+]([O-])c1ccccc1S(=O)(=O)Cl
136,1.5,acetonitrile,1,0,1,0,Cc1ccc(N=Cc2ccccc2)cc1,28,
130,2.06,acetonitrile,1,0,1,0,COc1ccc(C=O)cc1,18,
91,0.97,acetonitrile,1,0,1,0,idk,20,COc1ccc2cc[nH]c2c1
156,2.26,acetonitrile,1,0,1,0,idk,12,CN1CCCN(C)C1=O
8,2.36,acetonitrile,1,0,1,0,idk,15,c1ccc2ccccc2c1
70,0.86,acetonitrile,1,0,1,0,idk,18,COc1cccc(N=Cc2ccccc2)c1
92,1.03,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2s1,15,
152,1.26,acetonitrile,1,0,1,0,idk,75,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
167,-1.37,acetonitrile,0,-1,0,1,idk,18,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1
106,-1.94,acetonitrile,0,-1,0,1,Clc1ccc(I)cc1,12,
170,-1.01,acetonitrile,0,-1,0,1,O=C(OC(=O)c1ccccc1)c1ccccc1,27,
74,0.94,acetonitrile,1,0,1,0,idk,17,COc1cccc(N=Cc2ccccc2)c1
127,-1.42,acetonitrile,0,-1,0,1,N#Cc1ccc(C=O)cc1,15,
50,1.43,acetonitrile,1,0,1,0,idk,19,c1ccc2occc2c1
109,-1.82,acetonitrile,0,-1,0,1,idk,5,Clc1ccc(I)cc1
179,-0.27,acetonitrile,0,-1,0,1,O=C1CCC(=O)N1Cl,12,
117,2.5,acetonitrile,1,0,1,0,idk,12,Brc1ccc(I)cc1
173,-0.45,acetonitrile,0,-1,0,1,O=S(=O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,21,
16,1.54,acetonitrile,1,0,1,0,idk,12,c1ccc2ccccc2c1
100,1.74,acetonitrile,1,0,1,0,idk,15,O=C(OC(=O)c1ccccc1)c1ccccc1
150,-0.93,acetonitrile,0,-1,0,1,CC(=O)c1ccc([N+](=O)[O-])cc1,19,
143,-2.13,acetonitrile,0,-1,0,1,CC(=O)c1ccc(F)cc1,17,
85,1.51,acetonitrile,1,0,1,0,idk,13,O=[N+]([O-])c1ccccc1S(=O)(=O)Cl
105,-1.93,acetonitrile,0,-1,0,1,idk,5,Clc1ccc(I)cc1
134,-1.88,acetonitrile,0,-1,0,1,COc1cccc(N=Cc2ccccc2)c1,29,
60,1.81,acetonitrile,1,0,1,0,idk,16,COc1cccc(N=Cc2ccccc2)c1
72,0.89,acetonitrile,1,0,1,0,idk,14,COc1cccc(N=Cc2ccccc2)c1
80,1.28,acetonitrile,1,0,1,0,COc1ccc(SSc2ccc(OC)cc2)cc1,32,
192,0.66,acetonitrile,2,1,0,1,C1=CSC(=C2SC=CS2)S1,14,
41,2.22,acetonitrile,1,0,1,0,idk,17,c1ccc2ccccc2c1
67,0.81,acetonitrile,1,0,1,0,idk,17,Cc1ccc(N=Cc2ccccc2)cc1
94,1.04,acetonitrile,1,0,1,0,idk,13,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
90,0.95,acetonitrile,1,0,1,0,Nc1nccs1,10,
148,-1.85,acetonitrile,0,-1,0,1,CC(=O)c1ccc(I)cc1,17,
69,0.84,acetonitrile,1,0,1,0,CC(C)c1cccc(C(C)C)c1N,32,
13,1.49,acetonitrile,1,0,1,0,CC=Cc1ccsc1,16,
32,1.91,acetonitrile,1,0,1,0,idk,19,C1=C(c2ccccc2)CCCC1
99,1.73,acetonitrile,1,0,1,0,idk,13,CC=Cc1ccc2c(c1)OCO2
34,1.94,acetonitrile,1,0,1,0,CC=Cc1ccc(C(=O)OC)cc1,25,
78,1.15,acetonitrile,1,0,1,0,COc1ccc(S)cc1,17,
175,0.26,acetonitrile,1,0,1,0,idk,54,C1CCC2=NCCCN2CC1
2,1.65,acetonitrile,1,0,1,0,C#Cc1ccc(OC)cc1,18,
21,1.65,acetonitrile,1,0,1,0,CC=Cc1ccc(C(C)(C)C)cc1,31,
23,1.66,acetonitrile,1,0,1,0,idk,17,c1ccc2ccccc2c1
171,-0.98,acetonitrile,0,-1,0,1,idk,9,O=C(OC(=O)c1ccccc1)c1ccccc1
159,-2.34,acetonitrile,0,-1,0,1,idk,18,O=C(OC(=O)c1ccccc1)c1ccccc1
26,1.73,acetonitrile,1,0,1,0,idk,22,CC=Cc1ccc(C(C)(C)C)cc1
166,-1.45,acetonitrile,0,-1,0,1,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1,24,
110,-1.46,acetonitrile,0,-1,0,1,idk,17,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
128,-0.86,acetonitrile,0,-1,0,1,idk,16,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
142,-2.16,acetonitrile,0,-1,0,1,idk,20,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
188,-1.88,acetonitrile,0,-1,0,1,O=C(c1ccccc1)c1ccccc1,24,
43,2.37,acetonitrile,1,0,1,0,idk,16,c1ccc2ccccc2c1
133,-1.9,acetonitrile,0,-1,0,1,Fc1ccc(N=Cc2ccccc2)cc1,25,
19,1.64,acetonitrile,1,0,1,0,idk,26,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
121,-1.94,acetonitrile,0,-1,0,1,idk,17,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
165,-1.64,acetonitrile,0,-1,0,1,N#Cc1ccc(C#N)cc1,14,
63,0.32,acetonitrile,1,0,1,0,idk,28,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
84,1.46,acetonitrile,1,0,1,0,Cc1ccc(SSc2ccc(C)cc2)cc1,30,
31,1.89,acetonitrile,1,0,1,0,CC=Cc1cccc(Cl)c1,19,
97,1.16,acetonitrile,1,0,1,0,idk,16,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
193,0.3,acetonitrile,1,0,1,0,C1=CSC(=C2SC=CS2)S1,14,
10,1.15,acetonitrile,1,0,1,0,CC=Cc1ccc2c(c1)OCO2,22,
1,1.64,acetonitrile,1,0,1,0,c1ccc2ccccc2c1,18,
178,-1.12,acetonitrile,0,-1,0,1,idk,26,
65,0.54,acetonitrile,1,0,1,0,idk,29,c1ccc(N2CCOCC2)cc1
103,2.21,acetonitrile,1,0,1,0,idk,9,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
174,-0.2,acetonitrile,0,-1,0,1,O=C(OC(=O)C(F)(F)F)C(F)(F)F,13,
83,1.44,acetonitrile,1,0,1,0,CSc1ccccc1,16,
54,1.3,acetonitrile,1,0,1,0,COc1ccc(OC)cc1,20,
68,0.83,acetonitrile,1,0,1,0,idk,22,c1ccc(N2CCOCC2)cc1
75,0.95,acetonitrile,1,0,1,0,idk,14,COc1cccc(N=Cc2ccccc2)c1
6,2.22,acetonitrile,1,0,1,0,idk,18,c1ccc2ccccc2c1
161,-2.13,acetonitrile,0,-1,0,1,idk,12,O=C(OC(=O)c1ccccc1)c1ccccc1
38,1.98,acetonitrile,1,0,1,0,C=C(C)C=C(C)C,19,
119,-2.28,acetonitrile,0,-1,0,1,idk,20,O=C(OC(=O)c1ccccc1)c1ccccc1
163,-1.72,acetonitrile,0,-1,0,1,COC(=O)c1ccc(C#N)cc1,19,
144,-2.11,acetonitrile,0,-1,0,1,idk,17,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
17,1.59,acetonitrile,1,0,1,0,CC=Cc1ccc(C)cc1,22,
145,-1.91,acetonitrile,0,-1,0,1,CC(=O)c1ccc(Cl)cc1,17,
22,1.66,acetonitrile,1,0,1,0,CC=Cc1cccc(C=CC)c1,26,
95,1.07,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2o1,15,
18,1.6,acetonitrile,1,0,1,0,idk,23,CC=Cc1ccc2c(c1)OCO2
62,2.5,acetonitrile,1,0,1,0,idk,14,COc1ccccc1OC
129,1.95,acetonitrile,1,0,1,0,O=Cc1ccc(O)cc1,15,
59,1.51,acetonitrile,1,0,1,0,idk,14,COc1cccc(N=Cc2ccccc2)c1
3,1.84,acetonitrile,1,0,1,0,C(#Cc1ccccc1)c1ccccc1,24,
